timestamp,link_name,rssi_dbm,snr_db,ber,acm_modulation,latency_ms,packet_loss,rainfall_mm
2025-11-27 04:44:58,Siège CNPS – Datacenter CNPS Kennedy,-47.4,33.0,1.28e-10,256QAM,2.2,0.02,1.4
2025-11-27 04:59:58,Siège CNPS – Datacenter CNPS Kennedy,-47.4,32.2,3.21e-09,256QAM,2.0,0.02,1.7
2025-11-27 05:14:58,Siège CNPS – Datacenter CNPS Kennedy,-48.6,30.8,2.21e-09,256QAM,3.0,0.01,0.4
2025-11-27 05:29:58,Siège CNPS – Datacenter CNPS Kennedy,-47.6,31.7,5.45e-09,256QAM,2.7,0.03,1.5
2025-11-27 05:44:58,Siège CNPS – Datacenter CNPS Kennedy,-48.0,30.8,4.67e-09,256QAM,2.2,0.03,0.4
2025-11-27 05:59:58,Siège CNPS – Datacenter CNPS Kennedy,-50.2,31.4,6.87e-09,256QAM,2.2,0.03,1.6
2025-11-27 06:14:58,Siège CNPS – Datacenter CNPS Kennedy,-48.7,30.0,8.77e-09,256QAM,2.8,0.04,0.3
2025-11-27 06:29:58,Siège CNPS – Datacenter CNPS Kennedy,-48.9,30.9,9.51e-09,256QAM,2.5,0.06,1.9
2025-11-27 06:44:58,Siège CNPS – Datacenter CNPS Kennedy,-49.5,29.9,1.17e-08,256QAM,3.4,0.05,0.3
2025-11-27 06:59:58,Siège CNPS – Datacenter CNPS Kennedy,-50.6,29.6,1.23e-08,256QAM,3.2,0.05,0.8
2025-11-27 07:14:58,Siège CNPS – Datacenter CNPS Kennedy,-48.5,30.7,1.41e-08,256QAM,4.3,0.06,1.3
2025-11-27 07:29:58,Siège CNPS – Datacenter CNPS Kennedy,-49.6,29.3,1.35e-08,256QAM,2.5,0.06,0.5
2025-11-27 07:44:58,Siège CNPS – Datacenter CNPS Kennedy,-50.0,29.7,1.44e-08,256QAM,4.0,0.07,0.0
2025-11-27 07:59:58,Siège CNPS – Datacenter CNPS Kennedy,-52.0,28.7,1.79e-08,256QAM,3.8,0.1,0.5
2025-11-27 08:14:58,Siège CNPS – Datacenter CNPS Kennedy,-51.9,28.6,1.92e-08,256QAM,4.4,0.08,0.8
2025-11-27 08:29:58,Siège CNPS – Datacenter CNPS Kennedy,-52.1,29.0,1.92e-08,256QAM,2.5,0.09,1.4
2025-11-27 08:44:58,Siège CNPS – Datacenter CNPS Kennedy,-50.1,27.8,2.15e-08,256QAM,3.9,0.08,0.7
2025-11-27 08:59:58,Siège CNPS – Datacenter CNPS Kennedy,-51.8,28.3,2.39e-08,256QAM,5.1,0.1,0.6
2025-11-27 09:14:58,Siège CNPS – Datacenter CNPS Kennedy,-52.2,28.4,2.45e-08,256QAM,4.1,0.12,0.3
2025-11-27 09:29:58,Siège CNPS – Datacenter CNPS Kennedy,-52.4,27.0,2.49e-08,256QAM,4.8,0.1,0.2
2025-11-27 09:44:58,Siège CNPS – Datacenter CNPS Kennedy,-50.9,27.4,2.73e-08,256QAM,4.1,0.12,1.4
2025-11-27 09:59:58,Siège CNPS – Datacenter CNPS Kennedy,-52.6,27.6,2.63e-08,256QAM,5.6,0.13,0.5
2025-11-27 10:14:58,Siège CNPS – Datacenter CNPS Kennedy,-54.1,27.4,2.89e-08,256QAM,4.4,0.12,0.4
2025-11-27 10:29:58,Siège CNPS – Datacenter CNPS Kennedy,-53.6,26.2,3.09e-08,256QAM,4.5,0.13,1.6
2025-11-27 10:44:58,Siège CNPS – Datacenter CNPS Kennedy,-52.6,26.2,3.19e-08,256QAM,5.9,0.14,1.2
2025-11-27 10:59:58,Siège CNPS – Datacenter CNPS Kennedy,-52.5,26.6,3.14e-08,256QAM,5.2,0.15,0.6
2025-11-27 11:14:58,Siège CNPS – Datacenter CNPS Kennedy,-52.5,25.5,3.43e-08,256QAM,5.3,0.15,0.4
2025-11-27 11:29:58,Siège CNPS – Datacenter CNPS Kennedy,-52.8,26.1,3.47e-08,256QAM,5.1,0.16,0.4
2025-11-27 11:44:58,Siège CNPS – Datacenter CNPS Kennedy,-52.7,25.7,3.53e-08,256QAM,5.4,0.16,1.2
2025-11-27 11:59:58,Siège CNPS – Datacenter CNPS Kennedy,-53.4,25.3,3.77e-08,256QAM,6.5,0.16,2.0
2025-11-27 12:14:58,Siège CNPS – Datacenter CNPS Kennedy,-52.6,25.0,3.83e-08,256QAM,5.8,0.18,0.3
2025-11-27 12:29:58,Siège CNPS – Datacenter CNPS Kennedy,-55.1,24.8,3.93e-08,128QAM,5.4,0.19,8.1
2025-11-27 12:44:58,Siège CNPS – Datacenter CNPS Kennedy,-55.2,24.8,3.98e-08,128QAM,5.6,0.16,10.9
2025-11-27 12:59:58,Siège CNPS – Datacenter CNPS Kennedy,-56.0,23.9,4.38e-08,128QAM,5.6,0.17,13.1
2025-11-27 13:14:58,Siège CNPS – Datacenter CNPS Kennedy,-55.3,24.4,4.45e-08,128QAM,6.2,0.18,14.5
2025-11-27 13:29:58,Siège CNPS – Datacenter CNPS Kennedy,-56.1,23.5,4.44e-08,128QAM,6.7,0.22,15.0
2025-11-27 13:44:58,Siège CNPS – Datacenter CNPS Kennedy,-56.7,23.6,4.57e-08,128QAM,5.8,0.2,14.5
2025-11-27 13:59:58,Siège CNPS – Datacenter CNPS Kennedy,-55.2,23.3,4.72e-08,128QAM,6.0,0.2,13.1
2025-11-27 14:14:58,Siège CNPS – Datacenter CNPS Kennedy,-56.2,22.9,4.92e-08,128QAM,6.5,0.22,10.9
2025-11-27 14:29:58,Siège CNPS – Datacenter CNPS Kennedy,-56.6,23.6,5.02e-08,128QAM,5.1,0.2,8.1
2025-11-27 14:44:58,Siège CNPS – Datacenter CNPS Kennedy,-57.6,23.3,5.03e-08,128QAM,7.1,0.22,5.0
2025-11-27 14:59:58,Siège CNPS – Datacenter CNPS Kennedy,-59.2,21.7,5.29e-08,128QAM,5.9,0.22,1.9
2025-11-27 15:14:58,Siège CNPS – Datacenter CNPS Kennedy,-56.8,21.5,5.43e-08,128QAM,6.1,0.22,-0.9
2025-11-27 15:29:58,Siège CNPS – Datacenter CNPS Kennedy,-55.7,22.6,5.46e-08,128QAM,6.8,0.22,-3.1
2025-11-27 15:44:58,Siège CNPS – Datacenter CNPS Kennedy,-58.1,22.0,5.51e-08,128QAM,7.2,0.24,-4.5
2025-11-27 15:59:58,Siège CNPS – Datacenter CNPS Kennedy,-57.2,21.5,5.59e-08,128QAM,8.2,0.25,-5.0
2025-11-27 16:14:58,Siège CNPS – Datacenter CNPS Kennedy,-57.6,20.9,5.65e-08,128QAM,7.0,0.24,-4.5
2025-11-27 16:29:58,Siège CNPS – Datacenter CNPS Kennedy,-57.9,20.7,6.11e-08,128QAM,7.3,0.27,-3.1
2025-11-27 16:44:58,Siège CNPS – Datacenter CNPS Kennedy,-57.7,21.8,6.05e-08,128QAM,7.4,0.27,-0.9
2025-11-27 16:59:58,Siège CNPS – Datacenter CNPS Kennedy,-58.6,21.0,6.12e-08,128QAM,7.5,0.27,1.9
2025-11-27 17:14:58,Siège CNPS – Datacenter CNPS Kennedy,-57.8,21.3,6.34e-08,128QAM,7.5,0.28,5.0
2025-11-27 17:29:58,Siège CNPS – Datacenter CNPS Kennedy,-59.1,20.3,6.40e-08,128QAM,7.9,0.28,8.1
2025-11-27 17:44:58,Siège CNPS – Datacenter CNPS Kennedy,-59.9,20.0,6.52e-08,128QAM,8.1,0.3,10.9
